names;prices;link_image
  Apple iPhone 11 Pro 64 Go ; 329 900 FCFA ;https://www.ivoiremobiles.net/23763-home_default/apple-iphone-11-pro-64-go.jpg
  Apple iPhone 11 Pro Max 64 Go ; 589 900 FCFA ;https://www.ivoiremobiles.net/15868-home_default/apple-iphone-11-pro.jpg
  Apple iPhone 11 Pro 256 Go ; 359 900 FCFA ;https://www.ivoiremobiles.net/23764-home_default/apple-iphone-11-pro-256-go.jpg
  Apple iPhone 11 Pro Max 64 Go ; 359 900 FCFA ;https://www.ivoiremobiles.net/23765-home_default/apple-iphone-11-pro-max-64-go.jpg
  Apple iPhone 11 Pro Max 512 Go ; 1 059 900 FCFA ;https://www.ivoiremobiles.net/17973-home_default/apple-iphone-11-pro.jpg
  Apple iPhone 11 Pro 256 Go ; 679 900 FCFA ;https://www.ivoiremobiles.net/17969-home_default/apple-iphone-11-pro.jpg
  Apple iPhone 11 Pro 64 Go ; 599 900 FCFA ;https://www.ivoiremobiles.net/17970-home_default/apple-iphone-11-pro.jpg
  Apple iPhone 11 Pro Max 256 Go ; 409 900 FCFA ;https://www.ivoiremobiles.net/20418-home_default/apple-iphone-11-pro-max-256-go.jpg
  Apple iPhone 11 Pro Max 64 Go ; 649 900 FCFA ;https://www.ivoiremobiles.net/17975-home_default/apple-iphone-11-pro.jpg
  Apple iPhone 7 Plus 32 Go ; 124 900 FCFA ;https://www.ivoiremobiles.net/15884-home_default/apple-iphone-7-plus-32-go.jpg
  Apple iPhone 7 Plus 128 Go ; 134 900 FCFA ;https://www.ivoiremobiles.net/15883-home_default/apple-iphone-7-plus-128-go.jpg
  Apple iPhone 7 Plus 256 Go ; 609 900 FCFA ;https://www.ivoiremobiles.net/12914-home_default/apple-iphone-7.jpg
  Apple iPhone 7 Plus 32 Go ; 309 900 FCFA ;https://www.ivoiremobiles.net/12915-home_default/apple-iphone-7.jpg
  Apple iPhone 7 Plus 128 Go ; 389 900 FCFA ;https://www.ivoiremobiles.net/12913-home_default/apple-iphone-7.jpg
