Unnamed: 0,Nom,Prix de l'article,Boutique,Nombre d'étoiles,Lien vers la page dédiée à l'article
1,apple iphone 15-128go noir,589000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-128go-noir-27877429.html
3,apple iphone 15pro-256go titane blanc,809000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-blanc-27919774.html
4,"apple iphone 15 pro - 6.1"" super retina xdr oled – 256gb - 5g – 3349 mah - noir  - avec chargeur original - garantie un an",713500,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-pro-6.1-super-retina-xdr-oled-256gb-5g-3349-mah-noir-avec-chargeur-original-garantie-un-an-30081202.html
5,apple iphone 15pro-256go titane naturel,795000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-naturel-27877425.html
7,"apple iphone 15 pro - 6.1"" super retina xdr oled – 128gb - 5g – 3349 mah - white - avec chargeur original-  garantie un an",649800,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15-pro-6.1-super-retina-xdr-oled-128gb-5g-3349-mah-white-avec-chargeur-original-garantie-un-an-30081197.html
8,apple iphone 15plus-256go noir,729000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15plus-256go-noir-27877420.html
9,apple iphone 15pro-256go titane bleu,795000,Boutique Officielle,Note non disponible,https://www.jumia.ci//apple-iphone-15pro-256go-titane-bleu-27915418.html
11,apple iphone 16 pro max ( 512 go) - titane naturel,1220000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-512-go-titane-naturel-30103213.html
12,apple iphone 16 pro max ( 256 go) - titane naturel,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-naturel-30103210.html
16,apple iphone 16 pro max  ( 256 go) - titane sable,1070000,Boutique non officielle,Note non disponible,https://www.jumia.ci//apple-iphone-16-pro-max-256-go-titane-sable-30103208.html
